,Glaspercentage,Isolatie/infiltratie,g-waarde glas,Spuiventilatie,Zonwering,Oriëntatie,Woningtype,Klimaatbestand,Ruimtetype,GTO
409,0.3,Goed,0.6,8:00 tot 22:00,Overstek,Noord,Tussenappartement enkelzijdig,1,LIVINGROOM,66
411,0.5,Goed,0.6,8:00 tot 22:00,Overstek,Noord,Tussenappartement enkelzijdig,1,LIVINGROOM,78
413,0.7,Goed,0.6,8:00 tot 22:00,Overstek,Noord,Tussenappartement enkelzijdig,1,LIVINGROOM,94
415,0.3,Slecht,0.3,8:00 tot 22:00,Overstek,Noord,Tussenappartement enkelzijdig,1,LIVINGROOM,30
417,0.5,Slecht,0.3,8:00 tot 22:00,Overstek,Noord,Tussenappartement enkelzijdig,1,LIVINGROOM,37
419,0.7,Slecht,0.3,8:00 tot 22:00,Overstek,Noord,Tussenappartement enkelzijdig,1,LIVINGROOM,48
421,0.3,Matig,0.3,8:00 tot 22:00,Overstek,Noord,Tussenappartement enkelzijdig,1,LIVINGROOM,38
423,0.5,Matig,0.3,8:00 tot 22:00,Overstek,Noord,Tussenappartement enkelzijdig,1,LIVINGROOM,48
425,0.7,Matig,0.3,8:00 tot 22:00,Overstek,Noord,Tussenappartement enkelzijdig,1,LIVINGROOM,52
427,0.3,Goed,0.3,8:00 tot 22:00,Overstek,Noord,Tussenappartement enkelzijdig,1,LIVINGROOM,53
429,0.5,Goed,0.3,8:00 tot 22:00,Overstek,Noord,Tussenappartement enkelzijdig,1,LIVINGROOM,62
431,0.7,Goed,0.3,8:00 tot 22:00,Overstek,Noord,Tussenappartement enkelzijdig,1,LIVINGROOM,66
433,0.3,Slecht,0.6,TO-juli,Binnen slecht,Oost,Tussenappartement enkelzijdig,1,LIVINGROOM,140
435,0.5,Slecht,0.6,TO-juli,Binnen slecht,Oost,Tussenappartement enkelzijdig,1,LIVINGROOM,367
